timestamp,event,user_id,status,reason,occupancy,hour,day,parking_duration,price,payment_method
2026-03-15 20:31:18.348450,entry,user_1424,success,success,0.02,20,Sunday,236.0,19.67,apple_pay
2026-03-15 20:32:18.348450,entry,user_132,success,success,0.04,20,Sunday,87.0,7.25,credit_card
2026-03-15 20:33:18.348450,entry,user_713,success,success,0.06,20,Sunday,22.0,1.83,credit_card
2026-03-15 20:34:18.348450,entry,user_670,success,success,0.08,20,Sunday,138.0,11.5,apple_pay
2026-03-15 20:36:18.348450,entry,user_238,success,success,0.1,20,Sunday,74.0,6.17,credit_card
2026-03-15 20:37:18.348450,entry,user_1968,success,success,0.12,20,Sunday,83.0,6.92,credit_card
2026-03-15 20:39:18.348450,entry,user_1445,success,success,0.14,20,Sunday,232.0,19.33,google_pay
2026-03-15 20:41:18.348450,entry,user_120,success,success,0.16,20,Sunday,150.0,12.5,credit_card
2026-03-15 20:42:18.348450,entry,user_176,success,success,0.18,20,Sunday,164.0,13.67,google_pay
2026-03-15 21:00:18.348450,entry,user_889,denied,booking_expired,0.18,20,Sunday,,,
2026-03-15 20:46:18.348450,entry,user_669,success,success,0.2,20,Sunday,150.0,12.5,credit_card
2026-03-15 21:02:18.348450,entry,user_25,denied,booking_expired,0.2,20,Sunday,,,
2026-03-15 20:48:18.348450,entry,user_1223,success,success,0.22,20,Sunday,182.0,15.17,apple_pay
2026-03-15 20:49:18.348450,entry,user_85,success,success,0.24,20,Sunday,122.0,10.17,google_pay
2026-03-15 20:53:18.348450,entry,user_1442,success,success,0.26,20,Sunday,44.0,3.67,apple_pay
2026-03-15 20:55:18.348450,entry,user_1932,success,success,0.26,20,Sunday,208.0,17.33,apple_pay
2026-03-15 20:57:18.348450,entry,user_1537,success,success,0.28,20,Sunday,23.0,1.92,google_pay
2026-03-15 20:59:18.348450,entry,user_1198,success,success,0.3,20,Sunday,63.0,5.25,google_pay
2026-03-15 21:16:18.348450,entry,user_524,denied,booking_expired,0.3,21,Sunday,,,
2026-03-15 21:02:18.348450,entry,user_1285,success,success,0.32,21,Sunday,100.0,8.33,apple_pay
2026-03-15 21:03:18.348450,entry,user_590,success,success,0.34,21,Sunday,204.0,17.0,google_pay
2026-03-15 21:04:18.348450,entry,user_478,success,success,0.36,21,Sunday,156.0,13.0,google_pay
2026-03-15 21:05:18.348450,entry,user_576,success,success,0.38,21,Sunday,29.0,2.42,credit_card
2026-03-15 21:21:18.348450,entry,user_590,denied,booking_expired,0.38,21,Sunday,,,
2026-03-15 21:07:18.348450,entry,user_1933,success,success,0.4,21,Sunday,22.0,1.83,google_pay
2026-03-15 21:09:18.348450,entry,user_280,success,success,0.42,21,Sunday,225.0,18.75,credit_card
2026-03-15 21:12:18.348450,entry,user_366,success,success,0.44,21,Sunday,60.0,5.0,credit_card
2026-03-15 21:14:18.348450,entry,user_967,success,success,0.46,21,Sunday,123.0,10.25,google_pay
2026-03-15 21:16:18.348450,entry,user_777,success,success,0.48,21,Sunday,136.0,11.33,google_pay
2026-03-15 21:32:18.348450,entry,user_326,denied,booking_expired,0.48,21,Sunday,,,
2026-03-15 21:18:18.348450,entry,user_1336,success,success,0.5,21,Sunday,236.0,19.67,apple_pay
2026-03-15 21:19:18.348450,entry,user_1075,success,success,0.52,21,Sunday,93.0,7.75,google_pay
2026-03-15 21:20:18.348450,entry,user_1616,success,success,0.52,21,Sunday,64.0,5.33,credit_card
2026-03-15 21:21:18.348450,entry,user_1666,success,success,0.54,21,Sunday,94.0,7.83,credit_card
2026-03-15 21:23:18.348450,entry,user_844,success,success,0.56,21,Sunday,38.0,3.17,apple_pay
2026-03-15 21:24:18.348450,entry,user_69,success,success,0.58,21,Sunday,176.0,14.67,google_pay
2026-03-15 21:40:18.348450,entry,user_32,denied,booking_expired,0.58,21,Sunday,,,
2026-03-15 21:26:18.348450,entry,user_1770,success,success,0.6,21,Sunday,21.0,1.75,google_pay
2026-03-15 21:28:18.348450,entry,user_1055,success,success,0.62,21,Sunday,96.0,8.0,credit_card
2026-03-15 21:29:18.348450,entry,user_3,success,success,0.62,21,Sunday,224.0,18.67,apple_pay
2026-03-15 21:31:18.348450,entry,user_1908,success,success,0.64,21,Sunday,44.0,3.67,google_pay
2026-03-15 21:33:18.348450,entry,user_539,success,success,0.66,21,Sunday,171.0,14.25,credit_card
2026-03-15 21:49:18.348450,entry,user_1549,denied,booking_expired,0.64,21,Sunday,,,
2026-03-15 21:36:18.348450,entry,user_1450,success,success,0.66,21,Sunday,36.0,3.0,credit_card
2026-03-15 21:38:18.348450,entry,user_1351,success,success,0.66,21,Sunday,166.0,13.83,credit_card
2026-03-15 21:40:18.348450,entry,user_1623,success,success,0.68,21,Sunday,112.0,9.33,apple_pay
2026-03-15 21:56:18.348450,entry,user_1843,denied,booking_expired,0.68,21,Sunday,,,
2026-03-15 21:43:18.348450,entry,user_1738,success,success,0.7,21,Sunday,206.0,17.17,credit_card
2026-03-15 21:44:18.348450,entry,user_1624,success,success,0.72,21,Sunday,109.0,9.08,apple_pay
2026-03-15 21:46:18.348450,entry,user_770,success,success,0.74,21,Sunday,84.0,7.0,credit_card
2026-03-15 21:48:18.348450,entry,user_890,success,success,0.74,21,Sunday,208.0,17.33,apple_pay
2026-03-15 21:51:18.348450,entry,user_1894,success,success,0.74,21,Sunday,213.0,17.75,credit_card
2026-03-15 21:53:18.348450,entry,user_658,success,success,0.76,21,Sunday,214.0,17.83,google_pay
2026-03-15 21:54:18.348450,entry,user_997,success,success,0.78,21,Sunday,186.0,15.5,apple_pay
2026-03-15 21:55:18.348450,entry,user_1458,success,success,0.8,21,Sunday,96.0,8.0,credit_card
2026-03-15 21:56:18.348450,entry,user_1456,success,success,0.82,21,Sunday,49.0,4.08,credit_card
2026-03-15 21:58:18.348450,entry,user_170,success,success,0.84,21,Sunday,101.0,8.42,apple_pay
2026-03-15 22:00:18.348450,entry,user_517,success,success,0.82,22,Sunday,39.0,3.25,apple_pay
2026-03-15 22:01:18.348450,entry,user_1585,success,success,0.82,22,Sunday,50.0,4.17,apple_pay
2026-03-15 22:19:18.348450,entry,user_98,denied,booking_expired,0.8,22,Sunday,,,
2026-03-15 22:05:18.348450,entry,user_168,success,success,0.82,22,Sunday,192.0,16.0,credit_card
2026-03-15 22:06:18.348450,entry,user_742,success,success,0.84,22,Sunday,79.0,6.58,credit_card
2026-03-15 22:07:18.348450,entry,user_425,success,success,0.86,22,Sunday,118.0,9.83,credit_card
2026-03-15 22:08:18.348450,entry,user_1706,success,success,0.88,22,Sunday,133.0,11.08,apple_pay
2026-03-15 22:24:18.348450,entry,user_1410,denied,booking_expired,0.88,22,Sunday,,,
2026-03-15 22:13:18.348450,entry,user_113,success,success,0.86,22,Sunday,42.0,3.5,apple_pay
2026-03-15 22:15:18.348450,entry,user_228,success,success,0.86,22,Sunday,188.0,15.67,credit_card
2026-03-15 22:17:18.348450,entry,user_831,success,success,0.88,22,Sunday,166.0,13.83,apple_pay
2026-03-15 22:18:18.348450,entry,user_82,success,success,0.9,22,Sunday,163.0,13.58,google_pay
2026-03-15 22:19:18.348450,entry,user_868,success,success,0.92,22,Sunday,208.0,17.33,credit_card
